kod_cast,radon,populace,okres,kraj
015326,2.0,303.0,Prostějov,Olomoucký kraj
159107,2.0,176.0,Prostějov,Olomoucký kraj
136581,2.0,815.0,Prostějov,Olomoucký kraj
012700,2.0,700.0,Prostějov,Olomoucký kraj
100536,2.0,355.0,Prostějov,Olomoucký kraj
027341,1.0,330.0,Prostějov,Olomoucký kraj
075639,1.0,1516.0,Olomouc,Olomoucký kraj
076465,1.0,41.0,Šumperk,Olomoucký kraj
074497,1.0,164.0,Šumperk,Olomoucký kraj
181498,2.0,532.0,Prostějov,Olomoucký kraj
031488,2.0,41.0,Olomouc,Olomoucký kraj
072109,1.0,528.0,Olomouc,Olomoucký kraj
050415,1.0,89.0,Šumperk,Olomoucký kraj
044431,2.0,667.0,Prostějov,Olomoucký kraj
159115,2.0,53.0,Prostějov,Olomoucký kraj
159123,2.0,308.0,Prostějov,Olomoucký kraj
136573,2.0,34.0,Prostějov,Olomoucký kraj
088684,2.0,529.0,Olomouc,Olomoucký kraj
116467,2.0,113.0,Prostějov,Olomoucký kraj
134660,2.0,128.0,Prostějov,Olomoucký kraj
148610,2.0,1116.0,Olomouc,Olomoucký kraj
413721,2.0,102.0,Olomouc,Olomoucký kraj
015342,2.0,42.0,Prostějov,Olomoucký kraj
088692,2.0,26.0,Olomouc,Olomoucký kraj
088455,2.0,49.0,Prostějov,Olomoucký kraj
088463,2.0,175.0,Prostějov,Olomoucký kraj
024392,2.0,110.0,Prostějov,Olomoucký kraj
031526,2.0,487.0,Prostějov,Olomoucký kraj
155497,2.0,158.0,Prostějov,Olomoucký kraj
084611,2.0,105.0,Prostějov,Olomoucký kraj
015334,2.0,65.0,Prostějov,Olomoucký kraj
095524,2.0,760.0,Šumperk,Olomoucký kraj
194662,2.0,194.0,Prostějov,Olomoucký kraj
124311,1.0,189.0,Přerov,Olomoucký kraj
068144,1.0,344.0,Kroměříž,Zlínský kraj
171247,1.0,424.0,Přerov,Olomoucký kraj
095168,1.0,282.0,Přerov,Olomoucký kraj
414301,1.0,187.0,Přerov,Olomoucký kraj
414310,1.0,242.0,Přerov,Olomoucký kraj
067971,1.0,1114.0,Přerov,Olomoucký kraj
125903,1.0,225.0,Přerov,Olomoucký kraj
027189,1.0,214.0,Přerov,Olomoucký kraj
013790,1.0,953.0,Kroměříž,Zlínský kraj
049981,1.0,1227.0,Přerov,Olomoucký kraj
162949,1.0,58.0,Přerov,Olomoucký kraj
138819,1.0,1081.0,Přerov,Olomoucký kraj
159794,1.0,290.0,Přerov,Olomoucký kraj
030503,2.0,1293.0,Olomouc,Olomoucký kraj
160318,2.0,225.0,Olomouc,Olomoucký kraj
074331,2.0,488.0,Olomouc,Olomoucký kraj
189057,2.0,170.0,Přerov,Olomoucký kraj
109991,1.0,113.0,Přerov,Olomoucký kraj
145581,1.0,436.0,Přerov,Olomoucký kraj
102831,2.0,198.0,Přerov,Olomoucký kraj
084123,2.0,118.0,Olomouc,Olomoucký kraj
159255,2.0,235.0,Olomouc,Olomoucký kraj
195804,1.0,522.0,Přerov,Olomoucký kraj
050539,2.0,234.0,Olomouc,Olomoucký kraj
163996,2.0,1517.0,Šumperk,Olomoucký kraj
017931,2.0,72.0,Šumperk,Olomoucký kraj
182630,1.0,178.0,Prostějov,Olomoucký kraj
186384,1.0,466.0,Prostějov,Olomoucký kraj
414450,1.0,147.0,Přerov,Olomoucký kraj
157741,1.0,236.0,Přerov,Olomoucký kraj
033103,1.0,416.0,Kroměříž,Zlínský kraj
071307,1.0,103.0,Prostějov,Olomoucký kraj
071293,1.0,154.0,Prostějov,Olomoucký kraj
104400,1.0,65.0,Prostějov,Olomoucký kraj
027367,1.0,782.0,Prostějov,Olomoucký kraj
048674,1.0,236.0,Prostějov,Olomoucký kraj
